0.8075,0.0001498565
0.81,-0.0001370491
0.8125,0.0001590784
0.815,0.0001086705
0.8175,8.10875209899061E-05
0.82,0.0004172827
0.8225,0.0020015429
0.825,0.0046977635
0.8275,0.008693229
0.83,0.0222516859
0.8325,0.0816897108
0.835,0.2181986528
0.8375,0.3901098789
0.84,0.5621924629
0.8425,0.7224082976
0.845,0.8591435283
0.8475,0.9276255215
0.85,0.9169031783
0.8525,0.8747821755
0.855,0.8702906727
0.8575,0.8859094978
0.86,0.9244985101
0.8625,0.9758665495
0.865,1
0.8675,0.8750852561
0.87,0.7232780112
0.8725,0.5630083521
0.875,0.4175527363
0.8775,0.2720864396
0.88,0.1354855249
0.8825,0.0555528196
0.885,0.0251189851
0.8875,0.0081859926
0.89,0.0032478358
0.8925,0.0004963762
0.895,0.0003231423
0.8975,9.07283645251612E-05
0.9,0.0001795018
0.9025,0.0001746952
0.905,5.21298350399091E-05
0.9075,0.0001698173
0.91,1.68314862907968E-05
0.9125,0.0003274794
